Year of End Time (Adj),Month of End Time (Adj),In Library,Artist Name,Track Name,Album,End Time,End Time (Adj),Track Uri,Unique ID,F1,Minutes Listened,Ms Played
2020,September,0,Keri Hilson,Pretty Girl Rock,,9/12/2020 12:01:00 AM,9/11/2020 7:01:00 PM,,Keri Hilson:Pretty Girl Rock,0,4.065333333,243920
2020,September,0,Silk City,Electricity (with Dua Lipa),,9/12/2020 12:05:00 AM,9/11/2020 7:05:00 PM,,Silk City:Electricity (with Dua Lipa),1,3.96955,238173
2020,September,1,Chance the Rapper,Same Drugs,Coloring Book,9/12/2020 12:09:00 AM,9/11/2020 7:09:00 PM,6m9qPYXmhge2QhBLfFKnVF,Chance the Rapper:Same Drugs,2,4.29625,257775
2020,September,1,Frank Ocean,Thinkin Bout You,channel ORANGE,9/12/2020 12:13:00 AM,9/11/2020 7:13:00 PM,7DfFc7a6Rwfi3YQMRbDMau,Frank Ocean:Thinkin Bout You,3,3.345766667,200746
2020,September,0,Zedd,The Middle,,9/12/2020 12:16:00 AM,9/11/2020 7:16:00 PM,,Zedd:The Middle,4,3.078866667,184732
2020,September,1,Jorja Smith,Be Honest (feat. Burna Boy),Be Honest (feat. Burna Boy),9/12/2020 12:19:00 AM,9/11/2020 7:19:00 PM,5pAbCxt9e3f81lOmjIXwzd,Jorja Smith:Be Honest (feat. Burna Boy),5,3.4505,207030
2020,September,1,The 1975,Menswear,The 1975,9/12/2020 12:23:00 AM,9/11/2020 7:23:00 PM,1v07ywlVYd02pOCnXRBDNA,The 1975:Menswear,6,3.445616667,206737
2020,September,0,Jacob Banks,Prosecco,,9/12/2020 12:26:00 AM,9/11/2020 7:26:00 PM,,Jacob Banks:Prosecco,7,3.4771,208626
2020,September,0,Whitney Houston,How Will I Know,,9/12/2020 12:31:00 AM,9/11/2020 7:31:00 PM,,Whitney Houston:How Will I Know,8,4.592216667,275533
2020,September,1,Fergie,Big Girls Don't Cry (Personal),The Dutchess,9/12/2020 12:39:00 AM,9/11/2020 7:39:00 PM,3Q4WeJmzxuDpzMu9QjQqbM,Fergie:Big Girls Don't Cry (Personal),9,4.468666667,268120
2020,September,0,Clean Bandit,Rather Be (feat. Jess Glynne),,9/12/2020 12:43:00 AM,9/11/2020 7:43:00 PM,,Clean Bandit:Rather Be (feat. Jess Glynne),10,3.797216667,227833
2020,September,1,Ed Sheeran,U.N.I.,+,9/12/2020 12:46:00 AM,9/11/2020 7:46:00 PM,7fVR8piTfS8dhqSzph50qB,Ed Sheeran:U.N.I.,11,3.81,228600
2020,September,0,Ron Pope,A Drop In The Ocean,,9/12/2020 12:50:00 AM,9/11/2020 7:50:00 PM,,Ron Pope:A Drop In The Ocean,12,3.67065,220239
2020,September,0,Nicki Minaj,Truffle Butter,,9/12/2020 12:54:00 AM,9/11/2020 7:54:00 PM,,Nicki Minaj:Truffle Butter,13,0.0728,4368
2020,September,1,Sylvan Esso,Die Young,What Now,9/12/2020 12:54:00 AM,9/11/2020 7:54:00 PM,1BRwuvjhkgezmv1gcI6lT6,Sylvan Esso:Die Young,14,3.510216667,210613
2020,September,1,Regina Spektor,Us,Soviet Kitsch,9/12/2020 12:59:00 AM,9/11/2020 7:59:00 PM,6zJms3MX11Qu1IKF44LoRW,Regina Spektor:Us,15,4.873333333,292400
2020,September,1,Maggie Rogers,Fallingwater,Heard It In A Past Life,9/12/2020 1:03:00 AM,9/11/2020 8:03:00 PM,2CPLGREl5ahzA2WPBMkpxh,Maggie Rogers:Fallingwater,16,4.52,271200
2020,September,0,Mariahlynn,Once Upon a Time,,9/12/2020 1:03:00 AM,9/11/2020 8:03:00 PM,,Mariahlynn:Once Upon a Time,17,0.309866667,18592
2020,September,0,Omarion,Post to Be (feat. Chris Brown & Jhene Aiko),,9/12/2020 1:07:00 AM,9/11/2020 8:07:00 PM,,Omarion:Post to Be (feat. Chris Brown & Jhene Aiko),18,3.776333333,226580
2020,September,0,Salt-N-Pepa,Push It,,9/12/2020 1:12:00 AM,9/11/2020 8:12:00 PM,,Salt-N-Pepa:Push It,19,4.53555,272133
2020,September,0,Taylor Swift,I Knew You Were Trouble.,,9/12/2020 1:15:00 AM,9/11/2020 8:15:00 PM,,Taylor Swift:I Knew You Were Trouble.,20,3.632883333,217973
