Year of End Time (Adj),Month of End Time (Adj),In Library,Artist Name,Track Name,Minutes Listened,Ms Played
2020,September,0,Keri Hilson,Pretty Girl Rock,4.065333333,243920
2020,September,0,Silk City,Electricity (with Dua Lipa),3.96955,238173
2020,September,1,Chance the Rapper,Same Drugs,4.29625,257775
2020,September,1,Frank Ocean,Thinkin Bout You,3.345766667,200746
2020,September,0,Zedd,The Middle,3.078866667,184732
2020,September,1,Jorja Smith,Be Honest (feat. Burna Boy),3.4505,207030
2020,September,1,The 1975,Menswear,3.445616667,206737
2020,September,0,Jacob Banks,Prosecco,3.4771,208626
2020,September,0,Whitney Houston,How Will I Know,4.592216667,275533
2020,September,1,Fergie,Big Girls Don't Cry (Personal),4.468666667,268120
2020,September,0,Clean Bandit,Rather Be (feat. Jess Glynne),3.797216667,227833
2020,September,1,Ed Sheeran,U.N.I.,3.81,228600
2020,September,0,Ron Pope,A Drop In The Ocean,3.67065,220239
2020,September,0,Nicki Minaj,Truffle Butter,0.0728,4368
2020,September,1,Sylvan Esso,Die Young,3.510216667,210613
2020,September,1,Regina Spektor,Us,4.873333333,292400
2020,September,1,Maggie Rogers,Fallingwater,4.52,271200
2020,September,0,Mariahlynn,Once Upon a Time,0.309866667,18592
2020,September,0,Omarion,Post to Be (feat. Chris Brown & Jhene Aiko),3.776333333,226580
2020,September,0,Salt-N-Pepa,Push It,4.53555,272133
2020,September,0,Taylor Swift,I Knew You Were Trouble.,3.632883333,217973
2020,September,0,Beyoncé,Jealous,3.066883333,184013
2020,September,1,Drake,Nice For What,3.512433333,210746
2020,September,0,Khalid,Vertigo,4.506883333,270413
2020,September,0,AlunaGeorge,In My Head,3.408433333,204506
2020,September,0,Cosmo's Midnight,Walk With Me (feat. KUCKA),0.2512,15072
2020,September,0,Tory Lanez,LA Confidential,0.139816667,8389
2020,September,1,Devin Dawson,All On Me,3.743766667,224626
2020,September,1,Drake,Laugh Now Cry Later (feat. Lil Durk),3.525683333,211541
2020,September,1,Subtle Pride,Gentle Girl,3.948133333,236888
2020,September,1,Phoebe Bridgers,Kyoto,3.0754,184524
2020,September,1,Taylor Swift,the 1,3.504183333,210251
2020,September,1,Flipturn,August (Acoustic),3.337433333,200246
2020,September,1,Alexander 23,Dirty AF1s,2.283333333,137000
2020,September,1,Dr. Dog,Heart It Races - Cover Version,3.885466667,233128
2020,September,1,Salt Cathedral,No Ordinary Man,3.410933333,204656
2020,September,1,Vagabon,Fear & Force,0.60245,36147
2020,September,1,Bad Bad Hats,Super America,3.834666667,230080
2020,September,1,The Lumineers,Where The Skies Are Blue,2.335333333,140120
2020,September,1,The Lumineers,Everyone Requires A Plan,0.001483333,89
2020,September,1,The Lumineers,Dead Sea,4.132216667,247933
2020,September,1,The Lumineers,Gun Song,0.8065,48390
2020,September,1,The Lumineers,Gun Song,0.8065,48390
2020,September,1,The Lumineers,Gun Song,2.799866667,167992
2020,September,1,The Lumineers,Gun Song,2.799866667,167992
2020,September,1,Devin Dawson,All On Me,3.743766667,224626
2020,September,1,Hozier,Cherry Wine - Live,4.002433333,240146
2020,September,1,Henry Jamison,Real Peach,3.88815,233289
2020,September,1,Margaret Glaspy,You're Smiling (But I Don't Believe You),3.180333333,190820
2020,September,1,The Greeting Committee,Hands Down - Reprise,4.8468,290808
2020,September,1,Lorde,Ribs,4.31615,258969
2020,September,1,Lorde,Ribs,4.31615,258969
2020,September,1,Ella Vos,00000 Million - Recorded at Spotify Studios NYC,2.839033333,170342
2020,September,1,Arctic Monkeys,Love is a Laserquest,3.190433333,191426
